reasoning_type,fn_name,test_id,num_tests,num_correct,test_acc,size,model
motion,motion_one_hop,0,24,0,0.0,11.0,ALBERT
motion,motion_one_hop,1,36,18,0.5,11.0,ALBERT
motion,motion_one_hop,2,36,36,1.0,11.0,ALBERT
motion,motion_one_hop_jerund,0,72,0,0.0,11.0,ALBERT
motion,motion_one_hop_jerund,1,72,61,0.8472222222222222,11.0,ALBERT
motion,motion_one_hop_jerund,2,72,45,0.625,11.0,ALBERT
motion,non_motion_one_hop,0,24,0,0.0,11.0,ALBERT
motion,non_motion_one_hop,1,36,22,0.6111111111111112,11.0,ALBERT
motion,non_motion_one_hop,2,36,25,0.6944444444444444,11.0,ALBERT
motion,non_motion_one_hop_jerund,0,48,0,0.0,11.0,ALBERT
motion,non_motion_one_hop_jerund,1,48,15,0.3125,11.0,ALBERT
motion,non_motion_one_hop_jerund,2,48,43,0.8958333333333334,11.0,ALBERT
orientation,cardinals_neutral,0,96,16,0.1666666666666666,11.0,ALBERT
orientation,cardinals_one_hop,0,24,0,0.0,11.0,ALBERT
orientation,cardinals_one_hop,1,72,48,0.6666666666666666,11.0,ALBERT
orientation,left_right_above_below_one_hop,0,160,0,0.0,11.0,ALBERT
orientation,left_right_above_below_one_hop,1,640,120,0.1875,11.0,ALBERT
orientation,left_right_one_hop,0,360,0,0.0,11.0,ALBERT
orientation,left_right_one_hop,1,840,155,0.1845238095238095,11.0,ALBERT
distance,far_negative,0,60,60,1.0,11.0,ALBERT
distance,far_negative,1,60,60,1.0,11.0,ALBERT
distance,far_negative,2,40,40,1.0,11.0,ALBERT
distance,far_negative,3,40,31,0.775,11.0,ALBERT
distance,far_positive,0,20,0,0.0,11.0,ALBERT
distance,far_positive,1,60,0,0.0,11.0,ALBERT
distance,far_positive,2,60,0,0.0,11.0,ALBERT
distance,nearby_neutral,0,120,120,1.0,11.0,ALBERT
distance,nearby_neutral,1,120,120,1.0,11.0,ALBERT
distance,not_touching_neutral,0,120,0,0.0,11.0,ALBERT
distance,not_touching_neutral,1,120,120,1.0,11.0,ALBERT
distance,not_touching_neutral,2,120,0,0.0,11.0,ALBERT
distance,not_touching_neutral,3,120,120,1.0,11.0,ALBERT
distance,touching_negative,0,120,120,1.0,11.0,ALBERT
distance,touching_negative,1,120,120,1.0,11.0,ALBERT
distance,touching_negative,2,120,100,0.8333333333333334,11.0,ALBERT
distance,touching_positive,0,120,0,0.0,11.0,ALBERT
distance,touching_positive,1,120,0,0.0,11.0,ALBERT
distance,touching_positive,2,120,0,0.0,11.0,ALBERT
distance,transitivity_negative,0,480,0,0.0,11.0,ALBERT
containment,filled_with,0,18,0,0.0,11.0,ALBERT
containment,filled_with,1,18,2,0.1111111111111111,11.0,ALBERT
containment,motion_out_of,0,54,0,0.0,11.0,ALBERT
containment,motion_out_of,1,54,19,0.3518518518518518,11.0,ALBERT
containment,motion_out_of,2,36,0,0.0,11.0,ALBERT
containment,motion_out_of,3,36,0,0.0,11.0,ALBERT
containment,movement_into_container,0,54,0,0.0,11.0,ALBERT
containment,movement_into_container,1,54,0,0.0,11.0,ALBERT
containment,movement_into_container,2,36,11,0.3055555555555556,11.0,ALBERT
containment,one_hop_neg,0,72,72,1.0,11.0,ALBERT
containment,one_hop_neg,1,72,1,0.0138888888888888,11.0,ALBERT
containment,one_hop_pos,0,216,0,0.0,11.0,ALBERT
containment,one_hop_pos,1,216,0,0.0,11.0,ALBERT
containment,one_hop_pos,2,216,0,0.0,11.0,ALBERT
containment,two_hop_fits_in,0,528,83,0.1571969696969697,11.0,ALBERT
containment,two_hop_fits_in,1,792,792,1.0,11.0,ALBERT
containment,two_hop_fits_in,2,792,792,1.0,11.0,ALBERT
containment,two_hop_fits_in,3,792,792,1.0,11.0,ALBERT
containment,two_hop_fits_in,4,528,528,1.0,11.0,ALBERT
containment,two_hop_fits_in,5,528,528,1.0,11.0,ALBERT
containment,two_hop_fits_in,6,528,528,1.0,11.0,ALBERT
containment,two_hop_is_in,0,1782,23,0.0129068462401795,11.0,ALBERT
containment,two_hop_is_in,1,1188,0,0.0,11.0,ALBERT
containment,two_hop_is_in,2,1188,0,0.0,11.0,ALBERT
containment,two_hop_is_in,3,1188,0,0.0,11.0,ALBERT
containment,two_hop_is_in,4,1188,0,0.0,11.0,ALBERT
containment,two_hop_is_in,5,1188,0,0.0,11.0,ALBERT
containment,two_hop_is_in,6,1188,0,0.0,11.0,ALBERT
metaphor,containment_metaphors_action_into_movement,0,240,0,0.0,11.0,ALBERT
metaphor,containment_metaphors_action_into_movement,1,240,12,0.05,11.0,ALBERT
metaphor,containment_metaphors_could_not_contain,0,12,12,1.0,11.0,ALBERT
metaphor,containment_metaphors_energy_into,0,12,12,1.0,11.0,ALBERT
metaphor,containment_metaphors_energy_into,1,12,12,1.0,11.0,ALBERT
metaphor,containment_metaphors_entity_in_state,0,20,20,1.0,11.0,ALBERT
metaphor,containment_metaphors_filled_with_emotion,0,12,12,1.0,11.0,ALBERT
metaphor,containment_metaphors_got_out_of,0,12,12,1.0,11.0,ALBERT
metaphor,containment_metaphors_in_motion,0,9,9,1.0,11.0,ALBERT
metaphor,containment_metaphors_material_in,0,9,9,1.0,11.0,ALBERT
metaphor,containment_metaphors_outside_of,0,36,36,1.0,11.0,ALBERT
metaphor,distance_metaphors_close_to_goal,0,36,36,1.0,11.0,ALBERT
metaphor,distance_metaphors_close_to_goal,1,36,36,1.0,11.0,ALBERT
metaphor,distance_metaphors_close_to_goal,2,36,36,1.0,11.0,ALBERT
metaphor,distance_metaphors_far_from_achieving,0,36,36,1.0,11.0,ALBERT
metaphor,distance_metaphors_far_from_achieving,1,36,36,1.0,11.0,ALBERT
metaphor,motion_metaphors_flying,0,4,0,0.0,11.0,ALBERT
metaphor,motion_metaphors_flying,1,4,4,1.0,11.0,ALBERT
metaphor,motion_metaphors_jumping,0,12,0,0.0,11.0,ALBERT
metaphor,motion_metaphors_jumping,1,12,0,0.0,11.0,ALBERT
metaphor,motion_metaphors_moving_toward_agreement,0,36,36,1.0,11.0,ALBERT
metaphor,motion_metaphors_skipping,0,16,8,0.5,11.0,ALBERT
metaphor,motion_metaphors_skipping,1,16,9,0.5625,11.0,ALBERT
metaphor,orientation_metaphors_behind,0,12,12,1.0,11.0,ALBERT
metaphor,orientation_metaphors_down,0,4,0,0.0,11.0,ALBERT
metaphor,orientation_metaphors_down,1,4,4,1.0,11.0,ALBERT
metaphor,orientation_metaphors_looking_forward,0,12,12,1.0,11.0,ALBERT
motion,motion_one_hop,0,24,24,1.0,,
motion,motion_one_hop,1,36,28,0.7777777777777778,,
motion,motion_one_hop,2,36,27,0.75,,
motion,motion_one_hop_jerund,0,72,72,1.0,,
motion,motion_one_hop_jerund,1,72,72,1.0,,
motion,motion_one_hop_jerund,2,72,33,0.4583333333333333,,
motion,non_motion_one_hop,0,24,24,1.0,,
motion,non_motion_one_hop,1,36,28,0.7777777777777778,,
motion,non_motion_one_hop,2,36,36,1.0,,
motion,non_motion_one_hop_jerund,0,48,48,1.0,,
motion,non_motion_one_hop_jerund,1,48,27,0.5625,,
motion,non_motion_one_hop_jerund,2,48,36,0.75,,
orientation,cardinals_neutral,0,96,0,0.0,,
orientation,cardinals_one_hop,0,24,13,0.5416666666666666,,
orientation,cardinals_one_hop,1,72,49,0.6805555555555556,,
orientation,left_right_above_below_one_hop,0,160,105,0.65625,,
orientation,left_right_above_below_one_hop,1,640,318,0.496875,,
orientation,left_right_one_hop,0,360,57,0.1583333333333333,,
orientation,left_right_one_hop,1,840,413,0.4916666666666666,,
distance,far_negative,0,60,60,1.0,,
distance,far_negative,1,60,58,0.9666666666666668,,
distance,far_negative,2,40,40,1.0,,
distance,far_negative,3,40,40,1.0,,
distance,far_positive,0,20,10,0.5,,
distance,far_positive,1,60,60,1.0,,
distance,far_positive,2,60,60,1.0,,
distance,nearby_neutral,0,120,0,0.0,,
distance,nearby_neutral,1,120,0,0.0,,
distance,not_touching_neutral,0,120,36,0.3,,
distance,not_touching_neutral,1,120,0,0.0,,
distance,not_touching_neutral,2,120,13,0.1083333333333333,,
distance,not_touching_neutral,3,120,0,0.0,,
distance,touching_negative,0,120,99,0.825,,
distance,touching_negative,1,120,120,1.0,,
distance,touching_negative,2,120,120,1.0,,
distance,touching_positive,0,120,57,0.475,,
distance,touching_positive,1,120,120,1.0,,
distance,touching_positive,2,120,120,1.0,,
distance,transitivity_negative,0,480,296,0.6166666666666667,,
containment,filled_with,0,18,18,1.0,,
containment,filled_with,1,18,0,0.0,,
containment,motion_out_of,0,54,43,0.7962962962962963,,
containment,motion_out_of,1,54,36,0.6666666666666666,,
containment,motion_out_of,2,36,0,0.0,,
containment,motion_out_of,3,36,20,0.5555555555555556,,
containment,movement_into_container,0,54,54,1.0,,
containment,movement_into_container,1,54,14,0.2592592592592592,,
containment,movement_into_container,2,36,31,0.8611111111111112,,
containment,one_hop_neg,0,72,72,1.0,,
containment,one_hop_neg,1,72,72,1.0,,
containment,one_hop_pos,0,216,216,1.0,,
containment,one_hop_pos,1,216,216,1.0,,
containment,one_hop_pos,2,216,194,0.8981481481481481,,
containment,two_hop_fits_in,0,528,522,0.9886363636363636,,
containment,two_hop_fits_in,1,792,0,0.0,,
containment,two_hop_fits_in,2,792,18,0.0227272727272727,,
containment,two_hop_fits_in,3,792,0,0.0,,
containment,two_hop_fits_in,4,528,0,0.0,,
containment,two_hop_fits_in,5,528,4,0.0075757575757575,,
containment,two_hop_fits_in,6,528,0,0.0,,
containment,two_hop_is_in,0,1782,1370,0.7687991021324355,,
containment,two_hop_is_in,1,1188,1188,1.0,,
containment,two_hop_is_in,2,1188,1178,0.9915824915824916,,
containment,two_hop_is_in,3,1188,1188,1.0,,
containment,two_hop_is_in,4,1188,1072,0.9023569023569024,,
containment,two_hop_is_in,5,1188,16,0.0134680134680134,,
containment,two_hop_is_in,6,1188,496,0.4175084175084175,,
metaphor,containment_metaphors_action_into_movement,0,240,0,0.0,,
metaphor,containment_metaphors_action_into_movement,1,240,19,0.0791666666666666,,
metaphor,containment_metaphors_could_not_contain,0,12,0,0.0,,
metaphor,containment_metaphors_energy_into,0,12,0,0.0,,
metaphor,containment_metaphors_energy_into,1,12,0,0.0,,
metaphor,containment_metaphors_entity_in_state,0,20,4,0.2,,
metaphor,containment_metaphors_filled_with_emotion,0,12,0,0.0,,
metaphor,containment_metaphors_got_out_of,0,12,0,0.0,,
metaphor,containment_metaphors_in_motion,0,9,1,0.1111111111111111,,
metaphor,containment_metaphors_material_in,0,9,0,0.0,,
metaphor,containment_metaphors_outside_of,0,36,0,0.0,,
metaphor,distance_metaphors_close_to_goal,0,36,0,0.0,,
metaphor,distance_metaphors_close_to_goal,1,36,0,0.0,,
metaphor,distance_metaphors_close_to_goal,2,36,0,0.0,,
metaphor,distance_metaphors_far_from_achieving,0,36,0,0.0,,
metaphor,distance_metaphors_far_from_achieving,1,36,4,0.1111111111111111,,
metaphor,motion_metaphors_flying,0,4,4,1.0,,
metaphor,motion_metaphors_flying,1,4,0,0.0,,
metaphor,motion_metaphors_jumping,0,12,0,0.0,,
metaphor,motion_metaphors_jumping,1,12,0,0.0,,
metaphor,motion_metaphors_moving_toward_agreement,0,36,0,0.0,,
metaphor,motion_metaphors_skipping,0,16,0,0.0,,
metaphor,motion_metaphors_skipping,1,16,0,0.0,,
metaphor,orientation_metaphors_behind,0,12,12,1.0,,
metaphor,orientation_metaphors_down,0,4,4,1.0,,
